表示語	解析語
Meklenburgio-Antaŭpomerio	Meklenburgio-Antaŭpomerio
Melkicedeko	Melkicedeko
Melkioro	Melkioro
Meloso	Meloso
Melpomeno	Melpomeno
Meluzino	Meluzino
Menandro	Menandro
Menelao	Menelao
Merkurio	Merkurio
Merovidoj	Merovidoj
Merovo	Merovo
Mesalino	Mesalino
Mesia	Mesia
Mesiado	Mesiado
Mesidoro	Mesidoro
Metuŝelaĥo	Metuŝelaĥo
Meĥleno	Meĥleno
Mickjeviĉo	Mickjeviĉo
Mikaelo	Mikaelo
Milanio	Milanio
Miltiado	Miltiado
Minoa	Minoa
Mitraejo	Mitraejo
Mitraismo	Mitraismo
Mitraisto	Mitraisto
Moabido	Moabido
Moabo	Moabo
Mogola	Mogola
Moliso	Moliso
Moloĥo	Moloĥo
Mordeĥajo	Mordeĥajo
Mordvio	Mordvio
Morfeo	Morfeo
Morgano	Morgano
MOS	MOS
Mosea	Mosea
Mozelvino	Mozelvino
Naboto	Naboto
Napluso	Napluso
Napoleona	Napoleona
Napoleonidoj	Napoleonidoj
Natano	Natano
Naĥumo	Naĥumo
Neguso	Neguso
Nemeo	Nemeo
Nemezo	Nemezo
Nepero	Nepero
Nereidinoj	Nereidinoj
Nerona	Nerona
Neso	Neso
Nestorio	Nestorio
Nestoro	Nestoro
Nibelungoj	Nibelungoj
Niceo	Niceo
Nikolaitoj	Nikolaitoj
Nimo	Nimo
Nimrodo	Nimrodo
Nivozo	Nivozo
Niĉeismo	Niĉeismo
Nonoj	Nonoj
Nord	Nord
Normandia	Normandia
Norno	Norno
Novisado	Novisado
Numo	Numo
Ohiorivero	Ohiorivero
Okcitanio	Okcitanio
Oktavio	Oktavio
Omajadoj	Omajadoj
Omfalo	Omfalo
OMS	OMS
Onano	Onano
Onezimo	Onezimo
Oranĝio	Oranĝio
Oresto	Oresto
Orfea	Orfea
Origeno	Origeno
Orisio	Orisio
Orleanio	Orleanio
Ormazdo	Ormazdo
Osetio	Osetio
Osiano	Osiano
Osvaldo	Osvaldo
Ovidio	Ovidio
Oĥotska	Oĥotska
Padio	Padio
Palaso	Palaso
Pamplono	Pamplono
Panmunĵono	Panmunĵono
Panonio	Panonio
Pantagruelo	Pantagruelo
Panurgo	Panurgo
Panĝabio	Panĝabio
Papu-Nov-Gvineo	Papu-Nov-Gvineo
Paragvaĵo	Paragvaĵo
Parakleto	Parakleto
Paralipomenoj	Paralipomenoj
Parcino	Parcino
Parizio	Parizio
Parma	Parma
Parmenido	Parmenido
Parsia	Parsia
Parsiismo	Parsiismo
Parsio	Parsio
Pasteŭra	Pasteŭra
Patroklo	Patroklo
Patronia	Patronia
Pazifao	Pazifao
Paŭlanismo	Paŭlanismo
Paŭlano	Paŭlano
Paŭlino	Paŭlino
Paŭzanio	Paŭzanio
Pelagio	Pelagio
Peleido	Peleido
Peleo	Peleo
Pelopso	Pelopso
Pentekostano	Pentekostano
Pentezileo	Pentezileo
Percevalo	Percevalo
Pergamo	Pergamo
Perigozio	Perigozio
Periklo	Periklo
Perpetuo	Perpetuo
Persujo	Persujo
Peruĝano	Peruĝano
Perŭo	Perŭo
Petrarkeca	Petrarkeca
Petrarkeska	Petrarkeska
Petrarkismo	Petrarkismo
Petrarkumi	Petrarkumi
Petrogrado	Petrogrado
Petronio	Petronio
Peĉjo	Peĉjo
pH	pH
Pilado	Pilado
Pindaro	Pindaro
Pipino	Pipino
Piramo	Piramo
Piritoo	Piritoo
Pirono	Pirono
Pirro	Pirro
Pitia	Pitia
Pitio	Pitio
Pizistrato	Pizistrato
Pizono	Pizono
pK	pK
Placido	Placido
Plata-urbo	Plata-urbo
Plateo	Plateo
Plaŭto	Plaŭto
Plejadoj	Plejadoj
Plinio	Plinio
Plutarĥo	Plutarĥo
Pluviozo	Pluviozo
Podgorico	Podgorico
Polibio	Polibio
Polieŭkto	Polieŭkto
Polifemo	Polifemo
Poliklito	Poliklito
Polikrato	Polikrato
Polikseno	Polikseno
Polimnio	Polimnio
Pompeo	Pompeo
Poncio	Poncio
Pont-Eŭkseno	Pont-Eŭkseno
Pontino	Pontino
Potsdamo	Potsdamo
Potto	Potto
Praksitelo	Praksitelo
Prerialo	Prerialo
Priapa	Priapa
Priapo	Priapo
Prokno	Prokno
Prokusto	Prokusto
Protea	Protea
Providenĉo	Providenĉo
Ptolemea	Ptolemea
Punika	Punika
Puranoj	Puranoj
Purimo	Purimo
Purkinjo	Purkinjo
Racino	Racino
Radamantiso	Radamantiso
Rafaeleca	Rafaeleca
Rajmondo	Rajmondo
Raulo	Raulo
Raĝastano	Raĝastano
Reaŭmuro	Reaŭmuro
Redemptoro	Redemptoro
Rejnaldo	Rejnaldo
Rejnlando	Rejnlando
Renato	Renato
Renesanĉo	Renesanĉo
